frame_id,obj0_valid,obj0_class_norm,obj0_conf,obj0_dist_norm,obj0_lat_offset,obj0_width_norm,obj0_height_norm,obj0_lane_overlap,obj1_valid,obj1_class_norm,obj1_conf,obj1_dist_norm,obj1_lat_offset,obj1_width_norm,obj1_height_norm,obj1_lane_overlap,obj2_valid,obj2_class_norm,obj2_conf,obj2_dist_norm,obj2_lat_offset,obj2_width_norm,obj2_height_norm,obj2_lane_overlap,obj3_valid,obj3_class_norm,obj3_conf,obj3_dist_norm,obj3_lat_offset,obj3_width_norm,obj3_height_norm,obj3_lane_overlap,obj4_valid,obj4_class_norm,obj4_conf,obj4_dist_norm,obj4_lat_offset,obj4_width_norm,obj4_height_norm,obj4_lane_overlap,lane_r0c0,lane_r0c1,lane_r0c2,lane_r0c3,lane_r0c4,lane_r0c5,lane_r0c6,lane_r0c7,lane_r0c8,lane_r0c9,lane_r0c10,lane_r0c11,lane_r1c0,lane_r1c1,lane_r1c2,lane_r1c3,lane_r1c4,lane_r1c5,lane_r1c6,lane_r1c7,lane_r1c8,lane_r1c9,lane_r1c10,lane_r1c11,lane_r2c0,lane_r2c1,lane_r2c2,lane_r2c3,lane_r2c4,lane_r2c5,lane_r2c6,lane_r2c7,lane_r2c8,lane_r2c9,lane_r2c10,lane_r2c11,lane_r3c0,lane_r3c1,lane_r3c2,lane_r3c3,lane_r3c4,lane_r3c5,lane_r3c6,lane_r3c7,lane_r3c8,lane_r3c9,lane_r3c10,lane_r3c11,lane_r4c0,lane_r4c1,lane_r4c2,lane_r4c3,lane_r4c4,lane_r4c5,lane_r4c6,lane_r4c7,lane_r4c8,lane_r4c9,lane_r4c10,lane_r4c11,lane_r5c0,lane_r5c1,lane_r5c2,lane_r5c3,lane_r5c4,lane_r5c5,lane_r5c6,lane_r5c7,lane_r5c8,lane_r5c9,lane_r5c10,lane_r5c11,ego_steering,ego_throttle,lidar_s0,lidar_s1,lidar_s2,lidar_s3,lidar_s4,scenario,target_steering,target_throttle
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00708,0.14505,0.0,0.0,0.0,0.04163,0.06592,0.0,0.0,0.0,0.0,0.0,0.2066,0.00654,0.0,0.0,0.0,0.0,0.2181,0.00902,0.0,0.0,0.0,0.14947,0.06563,0.0,0.0,0.0,0.0,0.0,0.00778,0.21633,0.0,0.0,0.04894,0.13485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07358,0.11869,0.0,0.0,0.0,3.4255,4.8495,5.0,5.0,0.256,0,0.0,0.0
2,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06592,0.04163,0.0,0.0,0.0,0.14505,0.00708,0.0,0.0,0.0,0.0,0.00902,0.2181,0.0,0.0,0.0,0.0,0.00654,0.2066,0.0,0.0,0.0,0.0,0.21633,0.00778,0.0,0.0,0.0,0.0,0.0,0.06563,0.14947,0.0,0.0,0.11869,0.07358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13485,0.04894,-0.0,0.0,0.256,5.0,5.0,4.8495,3.4255,0,-0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00708,0.14505,0.0,0.0,0.0,0.04163,0.06592,0.0,0.0,0.0,0.0,0.0,0.2066,0.00654,0.0,0.0,0.0,0.0,0.2181,0.00902,0.0,0.0,0.0,0.14947,0.06563,0.0,0.0,0.0,0.0,0.0,0.00778,0.21633,0.0,0.0,0.04894,0.13485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07358,0.11869,0.0,0.0,0.0,3.4255,4.8495,5.0,5.0,0.256,0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00708,0.14505,0.0,0.0,0.0,0.04163,0.06592,0.0,0.0,0.0,0.0,0.0,0.2066,0.00654,0.0,0.0,0.0,0.0,0.2181,0.00902,0.0,0.0,0.0,0.14947,0.06563,0.0,0.0,0.0,0.0,0.0,0.00778,0.21633,0.0,0.0,0.0,0.13485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07358,0.11869,0.0,0.0,0.0,0.0,3.4255,4.8495,5.0,5.0,0.256,0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00708,0.14505,0.0,0.0,0.0,0.04163,0.06592,0.0,0.0,0.0,0.0,0.0,0.2066,0.00654,0.0,0.0,0.0,0.0,0.2181,0.00902,0.0,0.0,0.0,0.14947,0.06563,0.0,0.0,0.0,0.0,0.0,0.00778,0.21633,0.0,0.0,0.04894,0.13485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07358,0.11869,0.0,0.0,0.0,3.4255,4.8495,5.0,5.0,0.256,0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00708,0.14505,0.0,0.0,0.0,0.04163,0.06592,0.0,0.0,0.0,0.0,0.0,0.2066,0.00654,0.0,0.0,0.0,0.0,0.2181,0.00902,0.0,0.0,0.0,0.14947,0.06563,0.0,0.0,0.0,0.0,0.0,0.00778,0.21633,0.0,0.0,0.04894,0.13485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07358,0.11869,0.0,0.0,0.0,3.4255,4.8495,5.0,5.0,0.256,0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00708,0.14505,0.0,0.0,0.0,0.04163,0.06592,0.0,0.0,0.0,0.0,0.0,0.2066,0.00654,0.0,0.0,0.0,0.0,0.2181,0.00902,0.0,0.0,0.0,0.14947,0.06563,0.0,0.0,0.0,0.0,0.0,0.00778,0.21633,0.0,0.0,0.04894,0.13485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07358,0.11869,0.0,0.0,0.0,3.4255,4.8495,5.0,5.0,0.256,0,0.0,0.0
8,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06592,0.04163,0.0,0.0,0.0,0.14505,0.00708,0.0,0.0,0.0,0.0,0.00902,0.2181,0.0,0.0,0.0,0.0,0.00654,0.2066,0.0,0.0,0.0,0.0,0.21633,0.00778,0.0,0.0,0.0,0.0,0.0,0.06563,0.14947,0.0,0.0,0.11869,0.07358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13485,0.04894,-0.0,0.0,0.256,5.0,5.0,4.8495,3.4255,0,-0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00513,0.10808,0.0,0.0,0.0,0.03355,0.06533,0.0,0.0,0.0,0.0,0.0,0.20289,0.00831,0.0,0.0,0.0,0.0,0.21934,0.00831,0.0,0.0,0.0,0.14917,0.06698,0.0,0.0,0.0,0.0,0.0,0.00831,0.21545,0.0,0.0,0.04912,0.13573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07518,0.12099,0.0,0.0,0.0,3.4155,4.8995,5.0,5.0,0.256,0,0.0,0.0
10,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06533,0.03355,0.0,0.0,0.0,0.10808,0.00513,0.0,0.0,0.0,0.0,0.00831,0.21934,0.0,0.0,0.0,0.0,0.00831,0.20289,0.0,0.0,0.0,0.0,0.21545,0.00831,0.0,0.0,0.0,0.0,0.0,0.06698,0.14917,0.0,0.0,0.12099,0.07518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13573,0.04912,-0.0,0.0,0.256,5.0,5.0,4.8995,3.4155,0,-0.0,0.0
