frame_id,obj0_valid,obj0_class_norm,obj0_conf,obj0_dist_norm,obj0_lat_offset,obj0_width_norm,obj0_height_norm,obj0_lane_overlap,obj1_valid,obj1_class_norm,obj1_conf,obj1_dist_norm,obj1_lat_offset,obj1_width_norm,obj1_height_norm,obj1_lane_overlap,obj2_valid,obj2_class_norm,obj2_conf,obj2_dist_norm,obj2_lat_offset,obj2_width_norm,obj2_height_norm,obj2_lane_overlap,obj3_valid,obj3_class_norm,obj3_conf,obj3_dist_norm,obj3_lat_offset,obj3_width_norm,obj3_height_norm,obj3_lane_overlap,obj4_valid,obj4_class_norm,obj4_conf,obj4_dist_norm,obj4_lat_offset,obj4_width_norm,obj4_height_norm,obj4_lane_overlap,lane_r0c0,lane_r0c1,lane_r0c2,lane_r0c3,lane_r0c4,lane_r0c5,lane_r0c6,lane_r0c7,lane_r0c8,lane_r0c9,lane_r0c10,lane_r0c11,lane_r1c0,lane_r1c1,lane_r1c2,lane_r1c3,lane_r1c4,lane_r1c5,lane_r1c6,lane_r1c7,lane_r1c8,lane_r1c9,lane_r1c10,lane_r1c11,lane_r2c0,lane_r2c1,lane_r2c2,lane_r2c3,lane_r2c4,lane_r2c5,lane_r2c6,lane_r2c7,lane_r2c8,lane_r2c9,lane_r2c10,lane_r2c11,lane_r3c0,lane_r3c1,lane_r3c2,lane_r3c3,lane_r3c4,lane_r3c5,lane_r3c6,lane_r3c7,lane_r3c8,lane_r3c9,lane_r3c10,lane_r3c11,lane_r4c0,lane_r4c1,lane_r4c2,lane_r4c3,lane_r4c4,lane_r4c5,lane_r4c6,lane_r4c7,lane_r4c8,lane_r4c9,lane_r4c10,lane_r4c11,lane_r5c0,lane_r5c1,lane_r5c2,lane_r5c3,lane_r5c4,lane_r5c5,lane_r5c6,lane_r5c7,lane_r5c8,lane_r5c9,lane_r5c10,lane_r5c11,ego_steering,ego_throttle,lidar_s0,lidar_s1,lidar_s2,lidar_s3,lidar_s4,scenario,target_steering,target_throttle
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02724,0.01344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20183,0.0,0.0,0.0,0.00024,0.05371,0.0,0.0,0.0,0.0,0.0,0.19298,0.02618,0.0,0.0,0.0,0.0,0.20572,0.00867,0.0,0.0,0.0,0.15065,0.07771,0.0,0.0,0.0,0.0,0.0,0.00831,0.21209,0.0,0.0,0.07465,0.12807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09729,0.08137,0.0,0.0,0.0,3.2425,4.9335,5.0,5.0,5.0,0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02524,0.00696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20094,0.0,0.0,0.0,0.00024,0.05053,0.0,0.0,0.0,0.0,0.0,0.19334,0.02689,0.0,0.0,0.0,0.0,0.20448,0.00849,0.0,0.0,0.0,0.15006,0.076,0.0,0.0,0.0,0.0,0.0,0.00849,0.21085,0.0,0.0,0.06893,0.12512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09605,0.08597,0.0,0.0,0.0,3.2065,5.0,5.0,5.0,5.0,0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02742,0.01238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20165,0.0,0.0,0.0,0.00537,0.06592,0.0,0.0,0.0,0.0,0.0,0.19458,0.02565,0.0,0.0,0.0,0.0,0.2066,0.0092,0.0,0.0,0.0,0.15348,0.07807,0.0,0.0,0.0,0.0,0.0,0.00796,0.21297,0.0,0.0,0.07559,0.13048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09658,0.08844,0.0,0.0,0.0,3.1715,4.8145,5.0,5.0,5.0,0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02453,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20254,0.0,0.0,0.0,0.00466,0.06539,0.0,0.0,0.0,0.0,0.0,0.19175,0.02636,0.0,0.0,0.0,0.0,0.20784,0.00884,0.0,0.0,0.0,0.14959,0.077,0.0,0.0,0.0,0.0,0.0,0.00814,0.21209,0.0,0.0,0.06527,0.12382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0987,0.08721,0.0,0.0,0.0,3.2705,4.9165,5.0,5.0,5.0,0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217,0.00307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20147,0.0,0.0,0.0,0.0,0.04546,0.0,0.0,0.0,0.0,0.0,0.19245,0.02636,0.0,0.0,0.0,0.0,0.20572,0.00884,0.0,0.0,0.0,0.14976,0.07736,0.0,0.0,0.0,0.0,0.0,0.00814,0.21173,0.0,0.0,0.06344,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09746,0.08667,0.0,0.0,0.0,3.2125,5.0,5.0,5.0,5.0,0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02364,0.00324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20024,0.0,0.0,0.0,0.00012,0.04499,0.0,0.0,0.0,0.0,0.0,0.19298,0.02583,0.0,0.0,0.0,0.0,0.20607,0.00867,0.0,0.0,0.0,0.15112,0.07689,0.0,0.0,0.0,0.0,0.0,0.00814,0.21209,0.0,0.0,0.0681,0.12471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09623,0.08667,0.0,0.0,0.0,3.2185,4.9575,5.0,5.0,5.0,0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02618,0.01203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20218,0.0,0.0,0.0,0.00448,0.06362,0.0,0.0,0.0,0.0,0.0,0.19263,0.026,0.0,0.0,0.0,0.0,0.20607,0.00867,0.0,0.0,0.0,0.14959,0.07771,0.0,0.0,0.0,0.0,0.0,0.00831,0.21297,0.0,0.0,0.06751,0.12671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0977,0.09493,0.0,0.0,0.0,3.2035,4.8875,5.0,5.0,5.0,0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02341,0.00525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20342,0.0,0.0,0.0,0.00018,0.05254,0.0,0.0,0.0,0.0,0.0,0.19351,0.02583,0.0,0.0,0.0,0.0,0.20643,0.00867,0.0,0.0,0.0,0.14976,0.07789,0.0,0.0,0.0,0.0,0.0,0.00849,0.2112,0.0,0.0,0.06952,0.1286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09923,0.07995,0.0,0.0,0.0,3.2325,4.9435,5.0,5.0,5.0,0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02205,0.00289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20041,0.0,0.0,0.0,0.00088,0.06085,0.0,0.0,0.0,0.0,0.0,0.19298,0.02529,0.0,0.0,0.0,0.0,0.20483,0.00884,0.0,0.0,0.0,0.15077,0.07565,0.0,0.0,0.0,0.0,0.0,0.00796,0.21173,0.0,0.0,0.07111,0.12577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0987,0.09446,0.0,0.0,0.0,3.2365,5.0,5.0,5.0,5.0,0,0.0,0.60872
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02441,0.00566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19935,0.0,0.0,0.0,0.00047,0.06232,0.0,0.0,0.0,0.0,0.0,0.19245,0.02547,0.0,0.0,0.0,0.0,0.20307,0.00902,0.0,0.0,0.0,0.15124,0.07783,0.0,0.0,0.0,0.0,0.0,0.00796,0.20979,0.0,0.0,0.06792,0.12559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09782,0.0888,0.0,0.0,0.60872,3.2015,4.8145,5.0,5.0,5.0,0,0.0,1.0
